,ChannelGeneName_i,ChannelGeneName_j,ChannelIndex_i,ChannelIndex_j,ChannelName_i,ChannelName_j,ChannelPairs,PC_bin,Pearson Correlation,Resolution (micrometers)
0,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.44074045760254627,0.11
1,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.4046833335545342,0.22
2,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.32214479612120706,0.44
3,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.21919307167884428,0.88
4,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.05731735140824104,1.76
5,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.09947761491590568,3.52
6,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.41683616852620037,7.04
7,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.9938245446921834,14.08
8,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.0,28.16
0,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3237284590829594,0.11
1,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.34108208606957097,0.22
2,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.346995939750524,0.44
3,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.34891720330527165,0.88
4,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.32920236146572773,1.76
5,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.15984388199606506,3.52
6,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.1781755463128679,7.04
7,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.9532454584084589,14.08
8,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.0,28.16
0,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.5725454906849534,0.11
1,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.44532829064182233,0.22
2,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.24999328003905694,0.44
3,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.029339808152829053,0.88
4,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.18340123196425445,1.76
5,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.37195533553000215,3.52
6,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.7546957992750867,7.04
7,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.9958679412986688,14.08
8,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.0,28.16
0,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.31501588504496003,0.11
1,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.39562195621690965,0.22
2,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.5003686748876879,0.44
3,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.6391611289833756,0.88
4,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.77606080412919,1.76
5,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.9098795825785486,3.52
6,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.978151969309937,7.04
7,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.996836894762107,14.08
8,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.0,28.16
0,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.33337917038467413,0.11
1,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.33755969332656866,0.22
2,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.3346617422044209,0.44
3,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.33276487071853306,0.88
4,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.3344844795305395,1.76
5,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.32995375432754165,3.52
6,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,0.375856145128392,7.04
7,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,0.871848998326695,14.08
8,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,0.0,28.16
0,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.07797493081243735,0.11
1,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.10277545811773038,0.22
2,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.12815318794217112,0.44
3,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.1457425017857984,0.88
4,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.13324740933369983,1.76
5,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.07868949690101276,3.52
6,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.15767289790257008,7.04
7,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,0.9950106870390554,14.08
8,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,0.0,28.16
0,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.5369244676928906,0.11
1,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.5275929302839638,0.22
2,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.4900281843559871,0.44
3,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.43158120586262494,0.88
4,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.3329464256344951,1.76
5,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.04352284297657315,3.52
6,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,0.440730821790252,7.04
7,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,0.9158634326489007,14.08
8,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,0.0,28.16
0,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.015913846176119194,0.11
1,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.030179573722282985,0.22
2,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.06292619634544147,0.44
3,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.12762126852041386,0.88
4,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.28118908699736744,1.76
5,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.27291119776006295,3.52
6,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.6588194021416595,7.04
7,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.9976146032203741,14.08
8,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.0,28.16
0,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.8125599621938558,0.11
1,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.8170094284752892,0.22
2,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.8224880295031971,0.44
3,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.8285982945519395,0.88
4,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.8410714254645133,1.76
5,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.9004761843942071,3.52
6,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.9813187847925791,7.04
7,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.9956429674994767,14.08
8,LMNB1,NUP153,4.0,5.0,Nuclear envelope,Nuclear pores,"(4, 5)",0.0,0.0,28.16
0,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.12835856323282682,0.11
1,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.19106366047444615,0.22
2,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.27829892891705477,0.44
3,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.38095373648844355,0.88
4,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.4784941027101861,1.76
5,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.6753661998779268,3.52
6,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.9325635182461465,7.04
7,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.9734531666848021,14.08
8,NUP153,SMC1A,5.0,24.0,Nuclear pores,Cohesin,"(5, 24)",0.0,0.0,28.16
0,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.23615788863289497,0.11
1,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.2589869830327624,0.22
2,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.292698218548299,0.44
3,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.3379155421185563,0.88
4,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.3826571521892496,1.76
5,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.40595955095051595,3.52
6,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.3639576674253989,7.04
7,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.9722185966171795,14.08
8,ST6GAL1,ATP2A2,6.0,23.0,Golgi,Sarcoplasmic reticulum,"(6, 23)",0.0,0.0,28.16
